Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,Tot_P,Christian_Percent,SA2_CODE_2021
52,7728,187,104,107,10,12760,60.56426332,113011257
51,6554,157,54,91,0,10330,63.44627299,113011258
29,3410,27,20,24,0,5905,57.74767146,113011259
15,1878,13,4,3,0,3522,53.32197615,113021260
36,4005,17,55,19,9,6667,60.0719964,113021261
39,2849,20,3,4,0,4744,60.05480607,113021262
32,4882,21,13,11,5,7705,63.3614536,113031263
8,2463,11,13,0,0,3715,66.29878869,113031264
25,3581,17,10,24,0,6351,56.38482129,113031265
27,4438,25,16,0,0,6603,67.21187339,113031266
101,10246,193,124,109,4,16921,60.55197683,113031267
57,3039,58,80,115,0,5605,54.21944692,113031268
121,13085,669,212,195,3,22522,58.09874789,113031269
95,6278,261,190,189,3,11962,52.4828624,113031270
66,10544,71,155,50,6,17788,59.27591635,113031271
36,4670,34,16,19,20,9489,49.21488039,114011272
12,1864,12,0,4,9,3642,51.18066996,114011273
38,2718,16,7,13,12,5105,53.24191969,114011274
0,27,0,0,0,0,62,43.5483871,114011275
57,2247,14,20,12,11,4844,46.38728324,114011276
117,7785,77,126,59,18,16098,48.36004473,114011277
238,10047,180,283,105,15,22584,44.48724761,114011278
88,7453,57,12,48,8,15259,48.84330559,114011279
21,2532,18,14,10,0,4694,53.94120153,114011280
20,1699,17,0,13,0,3708,45.81984898,114011281
205,8353,52,43,23,19,17026,49.06026078,114011282
57,2627,11,8,8,6,5822,45.12195122,114011283
104,7750,57,144,31,67,13626,56.87655952,114021284
35,3409,34,12,25,13,6393,53.32394807,114021285
143,5460,122,367,105,33,10931,49.94968438,114021286
127,5504,56,152,40,23,10648,51.6904583,114021287
26,2012,15,8,7,15,3829,52.54635675,114021288
58,3781,16,9,17,15,7250,52.15172414,114021289
824,11775,322,2032,995,35,24726,47.62193642,115011290
748,10396,602,2399,904,19,21683,47.94539501,115011291
55,4277,57,86,79,10,6361,67.23785568,115011294
585,6448,158,729,342,9,12683,50.83970669,115011296
239,3636,86,482,364,8,7677,47.36225088,115011553
214,2821,57,410,131,0,5670,49.75308642,115011554
417,6425,169,558,447,10,12189,52.71146115,115011555
412,4999,138,651,377,16,10419,47.97965256,115011556
243,2686,131,449,306,5,5183,51.82326838,115011557
968,8177,317,2117,559,22,19082,42.85190232,115011558
584,9945,356,1237,645,20,17709,56.15788582,115011621
405,5201,515,1539,630,11,11375,45.72307692,115011622
429,14161,206,345,284,21,22479,62.99657458,115021297
34,3195,10,16,40,6,5436,58.77483444,115021298
43,1314,29,3,0,11,2846,46.17006325,115031299
82,12942,73,37,57,13,22161,58.3998917,115031300
44,7408,54,25,121,14,11414,64.90275101,115041301
172,5061,478,1392,730,3,10287,49.19801691,115041623
584,7662,578,1945,1521,20,17401,44.03195219,115041624
436,9682,320,1234,939,14,17581,55.07081508,115041625
315,6337,2039,2627,1189,3,17032,37.20643495,116011303
358,9411,1826,2455,1286,9,20584,45.71997668,116011304
452,11983,1083,3304,1748,3,23384,51.24444064,116011306
465,13536,552,1710,824,30,25373,53.34804714,116011307
218,5751,894,1681,921,3,12646,45.47683062,116011560
307,8121,1195,2139,1307,3,17141,47.37763258,116011561
419,7082,693,2344,879,14,14866,47.63890757,116011626
269,4604,433,3257,595,0,11578,39.76507169,116011627
576,6699,1861,2634,894,6,15829,42.32105629,116021309
75,1784,296,564,184,0,3668,48.63685932,116021562
552,11206,1709,4044,1383,11,24670,45.42359141,116021563
564,9475,1177,3480,1835,25,21058,44.99477633,116021628
314,6127,1279,3921,1140,0,15524,39.46792064,116021629
230,6630,432,1449,711,11,13844,47.89078301,116021630
235,4111,474,2514,578,0,10011,41.06482869,116021631
699,7934,1634,6696,2032,9,25130,31.5718265,116021632
311,5467,603,1890,758,5,13034,41.94414608,116021633
172,9223,125,496,1621,4,18536,49.75722918,116031313
81,4514,691,679,544,0,8374,53.90494387,116031314
227,11803,466,1635,2913,5,21414,55.11814701,116031315
254,10184,346,1171,1293,6,21551,47.25534778,116031316
270,10964,336,1137,4532,9,22918,47.84012567,116031317
0,0,0,0,0,0,12,0,116031318
338,12843,330,1783,2783,0,22826,56.26478577,116031319
19,196,0,0,19,13,508,38.58267717,117011320
277,7185,32,129,214,354,12960,55.43981481,117011321
462,7511,61,304,719,408,14762,50.88063948,117011323
0,0,0,0,0,4,6,0,117011324
0,4,0,3,0,0,19,21.05263158,117011325
356,4715,51,205,1202,106,8941,52.73459345,117011634
1824,8803,125,720,944,126,21573,40.80563668,117011635
455,6137,120,188,204,117,19898,30.84229571,117021327
356,2576,50,132,140,47,8278,31.11862769,117021328
559,4077,72,83,173,69,12317,33.10059268,117021636
878,4920,88,197,474,70,14283,34.44654484,117021637
360,2872,48,107,115,213,10615,27.05605276,117031329
511,4812,81,155,194,192,19126,25.15946879,117031330
727,5655,183,286,260,120,20262,27.90938703,117031331
448,5447,76,186,206,328,18187,29.94996426,117031333
766,3978,79,198,251,187,15828,25.13267627,117031336
209,2014,34,106,106,67,8332,24.1718675,117031638
712,1444,42,183,174,23,7803,18.50570293,117031639
408,3140,109,106,140,143,14667,21.40860435,117031640
793,4225,88,470,238,67,12658,33.37810081,117031641
498,3680,73,200,194,193,13670,26.92026335,117031642
396,4817,51,196,272,184,12290,39.19446705,117031643
527,2827,53,337,159,63,8004,35.31984008,117031644
5427,4165,100,471,393,41,19935,20.89290193,117031645
920,1473,51,288,226,22,7410,19.87854251,117031646
720,4696,105,239,347,231,16379,28.67085903,117031647
574,3570,62,254,267,139,12622,28.28394866,117031648
221,6330,49,81,76,1772,19055,33.21962739,118011339
199,5934,57,69,82,2876,20705,28.65974402,118011340
292,6474,51,131,93,1776,17720,36.53498871,118011341
0,0,0,0,0,0,0,#DIV/0!,118011342
